Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4189383,0.00029700302,-0.1130818,0.0,0.0,267.0
2000,1.4189383,0.00029100303,-0.11460647,None,None,None
3000,1.4189383,0.000285003,-0.104830965,None,None,None
4000,1.4189383,0.00027900303,-0.12821545,0.0,0.0,2462.0
5000,1.4189383,0.00027300304,-0.107884295,None,None,None
6000,1.419388,0.00026700302,-0.099805325,0.0,0.0,2462.0
7000,1.419473,0.000261003,-0.07039237,0.0,0.0,516.0
8000,1.419473,0.00025500305,-0.10933938,0.0,0.0,1198.0
9000,1.419473,0.00024900303,-0.110584505,None,None,None
10000,1.419473,0.00024300304,-0.08337889,0.0,0.0,2462.0
11000,1.419415,0.00023700304,-0.08520949,None,None,None
12000,1.4193895,0.00023100304,-0.08372366,None,None,None
13000,1.4193895,0.00022500305,-0.07981003,0.0,0.0,1349.5
14000,1.4193895,0.00021900305,-0.08020897,0.0,0.0,340.0
15000,1.4193895,0.00021300303,-0.083459154,None,None,None
16000,1.4191704,0.00020700306,-0.07253276,None,None,None
17000,1.4189565,0.00020100304,-0.07461957,0.0,0.0,1091.3333333333333
18000,1.4189565,0.00019500304,-0.079060875,0.0,0.0,237.0
19000,1.4189565,0.00018900307,-0.0671912,None,None,None
20000,1.4189565,0.00018300307,-0.070156954,0.0,0.0,1358.0
21000,1.4188244,0.00017700305,-0.073832974,0.0,0.0,237.0
22000,1.4185874,0.00017100308,-0.0694063,None,None,None
23000,1.4185874,0.00016500306,-0.072916925,0.0,0.0,2462.0
24000,1.4185874,0.00015900306,-0.07373093,0.0,0.0,318.0
25000,1.4185874,0.00015300307,-0.06903961,None,None,None
26000,1.4185351,0.00014700307,-0.06611791,None,None,None
27000,1.4183519,0.00014100307,-0.055824082,0.0,0.0,2462.0
28000,1.4183519,0.00013500307,-0.05419762,None,None,None
29000,1.4183519,0.00012900308,-0.056076657,0.0,0.0,2462.0
30000,1.4183519,0.00012300308,-0.05926419,0.0,0.0,248.5
31000,1.4183484,0.000117003074,-0.0530959,None,None,None
32000,1.4183156,0.00011100308,-0.04846542,0.0,0.0,1179.0
33000,1.4183156,0.000105003084,-0.049941238,0.0,0.0,393.0
34000,1.4183156,9.9003075e-05,-0.04663752,None,None,None
35000,1.4183156,9.300308e-05,-0.048884023,0.0,0.0,2462.0
36000,1.4183156,8.700309e-05,-0.04541037,None,None,None
37000,1.418321,8.100308e-05,-0.04285614,None,None,None
38000,1.4183214,7.500309e-05,-0.044027377,0.0,0.0,2462.0
39000,1.4183214,6.9003094e-05,-0.0426949,None,None,None
40000,1.4183214,6.300309e-05,-0.044351794,0.0,0.0,1379.0
41000,1.4183214,5.700309e-05,-0.046262033,0.0,0.0,308.0
42000,1.4183744,5.100309e-05,-0.03633795,None,None,None
43000,1.4183913,4.5003093e-05,-0.035616845,0.0,0.0,2462.0
44000,1.4183913,3.90031e-05,-0.03447327,0.0,0.0,345.0
45000,1.4183913,3.30031e-05,-0.03402779,None,None,None
46000,1.4183913,2.7003098e-05,-0.036393672,0.0,0.0,1381.0
47000,1.4184266,2.1003103e-05,-0.034211703,None,None,None
48000,1.4184492,1.5003103e-05,-0.030550435,None,None,None
