Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
2000,1.4189383,0.00029970016,0.18547273,0.07103919,-0.11354087,2.5000000596046448,0.0,0.0,2.5000000454019755,746.0
4000,1.4138887,0.00029910015,0.20074594,0.06594071,-0.10961875,2.5000000596046448,0.8077036837736765,1.0887109984954197,2.5000000454019755,746.0
6000,1.411513,0.00029850015,0.23515482,0.07169138,-0.049958646,2.5000000596046448,0.58988181874156,2.7559922337532043,2.5000000454019755,746.0
8000,1.4093714,0.00029790017,0.24779484,0.06774072,0.010882936,2.5000000596046448,0.3840158072610696,2.5653387109438577,2.5000000454019755,746.0
10000,1.4074008,0.00029730017,0.24834338,0.06406355,0.067160405,1.8980300029118855,0.2480539639169971,4.919669528802236,1.8980299945299823,737.0
12000,1.4045058,0.0002967002,0.23891646,0.05553069,0.13663188,0.6207798272371292,0.16515636956319213,3.1262107132934034,0.6207798272371292,510.5
14000,1.4041404,0.00029610016,0.25193012,0.0545424,0.21363375,0.5181413441896439,0.15267243469133973,2.165818404406309,0.5181413329555653,459.25
16000,1.4043413,0.00029550015,0.2180711,0.048428677,0.21078172,1.6064282357692719,0.20843682065606117,1.8377290467421215,1.6064282110116135,621.6666666666666
18000,1.4052124,0.00029490018,0.25478432,0.051202916,0.23527803,0.7771490067243576,0.2584283563774079,2.6181214563548565,0.7771489944425412,582.75
20000,1.4050132,0.00029430017,0.26806936,0.046880998,0.25754708,1.6303586661815643,0.2930252781758706,2.8732578307390213,1.630358642122398,624.0
22000,1.403373,0.00029370017,0.23229787,0.045090254,0.28441596,1.832265834013621,0.5904302926113209,2.8321289345622063,1.832265837971742,721.3333333333334
24000,1.4023037,0.00029310014,0.19285794,0.07828291,0.31044534,1.5820015569527943,2.454861427346865,2.911639784773191,1.5820015373174101,610.3333333333334
26000,1.4009744,0.00029250013,0.15589133,0.075608194,0.37008741,0.32909455299377444,0.591711737960577,1.7175667136907578,0.32909455210901795,428.8
28000,1.3982911,0.00029190016,0.15987954,0.09432472,0.34927395,2.5000000596046448,0.4130965331569314,4.086755305528641,2.5000000454019755,746.0
30000,1.3968596,0.00029130018,0.11908224,0.112385206,0.42143974,1.0030033513903618,0.21347459289245307,2.076918236911297,1.0030033497023396,466.25
32000,1.3953066,0.00029070018,0.1892121,0.11109443,0.37406838,2.5000000596046448,0.3353947053352992,1.880995124578476,2.5000000454019755,746.0
34000,1.3936534,0.00029010017,0.19350052,0.10270584,0.35359246,2.5000000596046448,0.36698808583120507,1.5121372962991397,2.5000000454019755,746.0
36000,1.3954479,0.00028950017,0.19445,0.088342905,0.35729036,1.420571227868398,0.21301053961118063,2.065426046649615,1.4205712232893954,514.3333333333334
38000,1.3955767,0.00028890016,0.23924893,0.08065747,0.33999842,1.7715515345335007,0.2761675943620503,1.7459512446075678,1.771551528130658,609.5
40000,1.3962121,0.00028830016,0.2780707,0.07650636,0.29256687,2.5000000596046448,0.20539372134953737,1.4108884707093239,2.5000000454019755,746.0
42000,1.3975939,0.00028770018,0.25518203,0.06494551,0.2773425,2.5000000596046448,0.2917417660355568,1.6763329456249874,2.5000000454019755,746.0
44000,1.3988729,0.00028710018,0.26343215,0.057966698,0.28351012,2.5000000596046448,0.354300819337368,1.6972816760341327,2.5000000454019755,746.0
46000,1.3963662,0.00028650014,0.2178556,0.053977497,0.33058935,1.5128412246704102,0.4612417733296752,1.6303957626223564,1.5128412002231926,726.0
48000,1.395332,0.00028590017,0.23376143,0.056484785,0.29331654,1.8640126660466194,0.33586620818823576,1.2344206850975752,1.8640126484096982,653.5
50000,1.3966655,0.00028530016,0.21811506,0.05947904,0.27217942,1.3775338232517242,0.3669675290584564,1.13428071513772,1.3775337903061882,627.5
52000,1.3976595,0.00028470016,0.15174916,0.062099773,0.27372256,0.2797807852427165,0.2391366039713224,0.7240838215996822,0.279780778917484,423.8333333333333
54000,1.397561,0.00028410018,0.18249169,0.054269895,0.2547713,1.0168563028176625,0.27521271879474324,1.257306655248006,1.016856281940515,615.6666666666666
56000,1.3983592,0.00028350015,0.1989918,0.050051525,0.23933032,1.853910505771637,0.20844448233644167,1.1396553963422775,1.853910484739269,732.6666666666666
58000,1.3994504,0.00028290018,0.20197198,0.050422296,0.2237007,2.5000000596046448,0.24852039571851492,0.8901809528470039,2.5000000454019755,746.0
60000,1.398612,0.00028230017,0.19705594,0.050111968,0.19963454,0.8749511122703553,0.30330903716385366,0.7117447406053543,0.8749511062633246,507.8
62000,1.3979864,0.00028170017,0.19639291,0.050072957,0.19673015,0.4211834892630577,0.16532927146181464,0.6638543580193073,0.42118348740041256,423.25
64000,1.3999016,0.0002811002,0.174358,0.05251172,0.17701846,0.7149493917822838,0.30614837910979986,0.6044232062995434,0.7149493888136931,575.0
66000,1.4013772,0.0002805002,0.22970264,0.049167655,0.17383827,1.6922619740168254,0.23689338440696397,0.6667177317043146,1.6922619571754087,662.0
68000,1.4010277,0.00027990015,0.1716901,0.05287958,0.1547468,-0.39793055823871065,0.09591574800599899,0.20712500393191086,-0.3979305612987706,260.2857142857143
70000,1.4011748,0.00027930018,0.16731246,0.04652243,0.14787579,-0.05250605195760727,0.17137407953850925,0.29457054677186534,-0.05250605195760727,415.25
72000,1.4007862,0.00027870017,0.11983967,0.045754887,0.13550888,0.5128408148884773,0.26640277029946446,0.38425035518594086,0.5128408173914067,480.0
74000,1.3998834,0.00027810017,0.14773518,0.04810171,0.120901264,0.6358800232410431,0.2530439947731793,0.41452488861978054,0.6358800142188556,537.25
76000,1.3992026,0.0002775002,0.18162146,0.045441777,0.112396866,2.5000000596046448,0.2080024133125941,0.3692605358858903,2.5000000454019755,746.0
78000,1.3988261,0.00027690016,0.17498061,0.04596627,0.09588298,1.4680663545926411,0.16523798617223898,0.19026720896363258,1.4680663566105068,555.0
80000,1.3987942,0.00027630015,0.1809004,0.045469005,0.08887855,1.1755858436226845,0.20083697279915214,0.3872264623641968,1.1755858455435373,570.0
82000,1.3986187,0.00027570018,0.18678153,0.03669926,0.10382244,0.27750871181488035,0.13338100649416446,0.2501181248109788,0.2775087053887546,404.6
84000,1.3993398,0.00027510017,0.21133195,0.03471107,0.095692754,1.419572651386261,0.14907744278510413,0.21365501483281454,1.419572630431503,526.0
86000,1.3997407,0.00027450017,0.20655951,0.034335915,0.09336023,1.7417239397764206,0.23132483707740903,0.324045765097253,1.7417239345959388,592.25
88000,1.3996514,0.0002739002,0.22636667,0.031122593,0.09049919,2.5000000596046448,0.27244217973202467,0.6201055701822042,2.5000000454019755,746.0
90000,1.3994579,0.00027330016,0.23183888,0.037424814,0.083639815,1.0086863487958908,0.17924644285812974,0.1565530695952475,1.0086863248725422,473.75
92000,1.399018,0.00027270016,0.15089639,0.048432834,0.06782906,1.685374692082405,0.3157313806004822,0.284256688086316,1.685374679567758,568.0
94000,1.3992863,0.00027210018,0.20135552,0.040005893,0.0659439,1.6806185692548752,0.2607798322569579,0.30632455507293344,1.6806185598834418,578.5
96000,1.4008913,0.00027150018,0.12235319,0.04728982,0.05665308,1.4700385332107544,0.3195014496644338,0.15612800741412988,1.4700385271571577,547.0
98000,1.402536,0.0002709002,0.17080793,0.044369154,0.057982408,1.7997118532657623,0.44501895798991126,0.24636372892806926,1.7997118378213297,709.0
100000,1.4028776,0.00027030017,0.16228953,0.05946818,0.044076297,1.789985716342926,0.5084542138502002,0.31153236178215593,1.789985714868332,712.6666666666666
102000,1.4022785,0.00026970016,0.2353703,0.05646989,0.050585926,0.2995472475886345,0.17411338305100799,0.07543192285811529,0.29954725824063644,366.0
104000,1.403264,0.00026910016,0.22585012,0.053581186,0.050038893,0.5635611712932587,0.20448924989129105,0.19369945768266916,0.5635611677231888,409.5
106000,1.4042386,0.00026850018,0.14311963,0.062886715,0.044838868,0.2703188419342041,0.18651482444256545,0.0569613245286746,0.27031885040923953,391.8
